name,publisher,platforms,num_platforms,year_released,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,developer,rating
Bejeweled Twist,PopCap Games,"[""PC""]",1,2008,Puzzle,0.01,0.04,0,0.01,0.05,78,12,7.3,11,PopCap,E
Ben 10: Alien Force,Koch Media,"[""Wii""]",1,2008,Action,0.52,0.21,0,0.07,0.8,45,6,7.8,11,Monkey Bar Games,E10+
Ben 10 Alien Force: Vilgax Attacks,D3Publisher,"[""Wii"", ""X360""]",2,2009,Action,0.36,0.23,0,0.06,0.66,63,14,6.15,10,Papaya Studios,E10+
Ben 10: Protector of Earth,D3Publisher,"[""Wii"", ""PSP""]",2,2007,Action,0.77,0.8500000000000001,0,0.31,1.94,61.5,10,7.45,32,High Voltage Software,E10+
Ben 10 Ultimate Alien: Cosmic Destruction,D3Publisher,"[""X360""]",1,2010,Platform,0.1,0.06,0,0.02,0.18,51,5,5.3,4,Papaya Studios,E10+
Beowulf: The Game,Ubisoft,"[""X360"", ""PS3"", ""PSP""]",3,2007,Action,0.58,0.02,0,0.05,0.65,48.666666666666664,45,5.1000000000000005,54,Ubisoft,M
Beyblade Evolution,Rising Star Games,"[""3DS""]",1,2013,Action,0.02,0.01,0,0,0.04,49,7,6.3,4,Rising Star Games,E
Beyblade G-Revolution,Atari,"[""GBA""]",1,2004,Action,0.15,0.05,0,0,0.2,40,5,7.8,5,Full Fat,E
BeyBlade VForce: Super Tournament Battle,Atari,"[""GC""]",1,2002,Action,0.16,0.04,0,0.01,0.21,33,6,7.5,18,Takara,E
Beyond: Two Souls,Sony Computer Entertainment,"[""PS3""]",1,2013,Adventure,0.52,0.8,0.06,0.26,1.63,70,98,8.1,2652,Quantic Dream,M
Big Bang Mini,SouthPeak Games,"[""DS""]",1,2009,Shooter,0.05,0,0,0,0.06,78,39,8.2,26,Arkedo Studio,E
Big Beach Sports,THQ,"[""Wii""]",1,2008,Sports,0.45,1.02,0,0.2,1.66,44,17,8,41,HB Studios Multimedia,E
Big Brain Academy,Nintendo,"[""DS""]",1,2005,Misc,1.66,2.75,1.6,0.62,6.62,74,45,7.4,27,Nintendo,E
Big Brain Academy: Wii Degree,Nintendo,"[""Wii""]",1,2007,Misc,1.05,1.91,0.41,0.42,3.79,68,33,6.9,39,Nintendo,E
Big Mutha Truckers,Empire Interactive,"[""XB"", ""GC"", ""PS2""]",3,2002,Racing,0.62,0.38,0,0.12,1.1099999999999999,61.333333333333336,32,5.933333333333334,35,Eutechnyx,T
Big Mutha Truckers 2,Empire Interactive,"[""XB"", ""PS2""]",2,2005,Racing,0.15000000000000002,0.09000000000000001,0,0.03,0.27,50.5,57,2.75,14,Eutechnyx,M
Billy Hatcher and the Giant Egg,Sega,"[""GC""]",1,2003,Platform,0.19,0.05,0,0.01,0.25,71,37,8.7,31,Sonic Team,E
Binary Domain,Sega,"[""X360"", ""PS3""]",2,2012,Action,0.18,0.13,0.16,0.05,0.52,73,76,8.1,364,Sega,M
Bionic Commando,Capcom,"[""X360"", ""PS3""]",2,2009,Platform,0.24,0.29000000000000004,0.02,0.09,0.64,70.5,113,7.35,149,GRIN,M
Bionicle,Electronic Arts,"[""XB"", ""GC"", ""PS2""]",3,2003,Action,0.42000000000000004,0.22000000000000003,0,0.06999999999999999,0.7,49,17,3.1,25,Argonaut Games,E
Bionicle Heroes,Eidos Interactive,"[""X360"", ""Wii"", ""GC"", ""DS""]",4,2006,Shooter,0.22,0.03,0,0.01,0.28,58.5,48,5.824999999999999,47,Amaze Entertainment,E10+
BioShock,Take-Two Interactive,"[""X360"", ""PC"", ""PS3""]",3,2007,Shooter,2.41,1.7,0.060000000000000005,0.5,4.66,95.33333333333333,183,8.7,6736,"Digital Extremes, 2K Marin",M
BioShock 2,Take-Two Interactive,"[""PS3"", ""PC"", ""X360""]",3,2010,Shooter,2.32,1.19,0.04,0.45,3.9800000000000004,88,191,8.133333333333333,2312,2K Marin,M
BioShock Infinite,Take-Two Interactive,"[""PC"", ""PS3"", ""X360""]",3,2013,Shooter,2.23,1.49,0.06,0.51,4.28,93.66666666666667,128,8.5,10832,Irrational Games,M
BioShock The Collection,Take-Two Interactive,"[""XOne"", ""PS4""]",2,2016,Shooter,0.18,0.25,0.02,0.06999999999999999,0.53,84,55,8.4,289,2K Games,M
Birds of Steel,Konami Digital Entertainment,"[""X360"", ""PS3""]",2,2012,Simulation,0.21000000000000002,0.11,0.02,0.04,0.38,75,45,8.65,36,Gaijin Entertainment,T
BIT.TRIP COMPLETE,Rising Star Games,"[""Wii""]",1,2011,Misc,0.06,0.02,0,0.01,0.09,84,19,8.7,18,Gaijin Games,E
BIT.TRIP SAGA,Rising Star Games,"[""3DS""]",1,2011,Misc,0.09,0.04,0,0.01,0.14,75,21,7.8,24,Gaijin Games,E
Black,Electronic Arts,"[""PS2"", ""XB""]",2,2006,Shooter,1.32,0.13,0.03,0.17,1.67,78,127,8.2,245,Criterion Games,M
Black * Rock Shooter: The Game,Unknown,"[""PSP""]",1,2011,Role-Playing,0,0,0.15,0,0.15,66,19,7.2,39,"Image Epoch, Imageepoch",T
