name,publisher,platforms,num_platforms,year_released,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,developer,rating
Dance Dance Revolution Ultramix 2,Konami Digital Entertainment,"[""XB""]",1,2004,Simulation,0.32,0.09,0,0.02,0.42,78,16,7.1,7,Konami Computer Entertainment Hawaii,E
Dance Dance Revolution Ultramix 3,Konami Digital Entertainment,"[""XB""]",1,2005,Simulation,0.28,0.08,0,0.01,0.38,75,16,8.6,8,Konami,E10+
Dance Dance Revolution Universe,Konami Digital Entertainment,"[""X360""]",1,2007,Simulation,0.3,0,0,0.02,0.32,74,26,8.8,5,Konami,E10+
Dance Dance Revolution Universe 2,Konami Digital Entertainment,"[""X360""]",1,2007,Simulation,0.46,0,0,0.04,0.5,65,10,7.4,5,Konami,E10+
Dance Dance Revolution Universe 3,Konami Digital Entertainment,"[""X360""]",1,2008,Simulation,0.28,0,0,0.02,0.3,65,6,7.7,7,Konami,E
Dance Dance Revolution X,Konami Digital Entertainment,"[""PS2""]",1,2008,Simulation,0.85,0.66,0.01,0.22,1.75,55,6,6.2,6,Konami,E10+
Dance Factory,Codemasters,"[""PS2""]",1,2006,Action,0.02,0.01,0,0,0.03,56,22,5.8,8,Broadsword Interactive,E
DanceMasters,Konami Digital Entertainment,"[""X360""]",1,2010,Misc,0.15,0.02,0.02,0.01,0.19,63,30,5.9,7,GCP1,E10+
Dance on Broadway,Ubisoft,"[""Wii""]",1,2010,Misc,0.25,0.65,0,0.12,1.02,48,6,3.3,4,Longtail Studios,E10+
Dancing With The Stars,Activision,"[""Wii""]",1,2007,Misc,0.22,0,0,0.02,0.24,42,5,6.2,5,Zoe Mode,E10+
Danganronpa 2: Goodbye Despair,Nippon Ichi Software,"[""PSV""]",1,2014,Misc,0.08,0.05,0,0.04,0.17,81,50,8.7,140,Spike Chunsoft,M
Danganronpa Another Episode: Ultra Despair Girls,Nippon Ichi Software,"[""PSV""]",1,2014,Action,0.06,0.01,0.12,0.02,0.21,72,35,8.4,77,Spike Chunsoft,M
Danganronpa: Trigger Happy Havoc,Nippon Ichi Software,"[""PSV""]",1,2013,Misc,0.09,0.05,0.15,0.04,0.33,80,55,8.1,235,Spike Chunsoft,M
Dante's Inferno,Electronic Arts,"[""PSP"", ""X360"", ""PS3""]",3,2010,Action,1.3900000000000001,0.51,0.07,0.22000000000000003,2.1900000000000004,72.66666666666667,154,7.766666666666667,535,"Artificial Mind and Movement, EA Redwood Shores",M
Dark Angel: Vampire Apocalypse,Metro 3D,"[""PS2""]",1,2001,Role-Playing,0.04,0.03,0,0.01,0.09,53,9,5.6,5,Metro3D,T
Dark Cloud,Sony Computer Entertainment,"[""PS2""]",1,2000,Role-Playing,0.83,0.44,0.08,0.19,1.54,80,27,8.2,99,Level 5,T
Dark Cloud 2,Sony Computer Entertainment,"[""PS2""]",1,2002,Role-Playing,0.38,0.25,0.26,0.07,0.96,87,41,9.1,174,Level 5,T
Darkened Skye,TDK Mediactive,"[""GC""]",1,2002,Adventure,0.01,0,0,0,0.01,61,12,6.4,7,Boston Animation,T
Darkest of Days,Phantom EFX,"[""X360""]",1,2009,Shooter,0.09,0,0,0.01,0.1,44,25,4.8,76,8Monkey Labs,M
Dark Messiah of Might and Magic Elements,Ubisoft,"[""X360""]",1,2008,Role-Playing,0.16,0.02,0.01,0.02,0.2,52,27,7,48,Ubisoft Annecy,M
Dark Sector,D3Publisher,"[""PS3"", ""X360""]",2,2008,Shooter,0.45,0.36,0.02,0.12000000000000001,0.95,72,118,7.55,217,Digital Extremes,M
Darksiders,THQ,"[""X360"", ""PS3"", ""PC""]",3,2010,Action,0.75,0.34,0.01,0.12000000000000001,1.23,82.66666666666667,172,7.866666666666667,1214,Vigil Games,M
Darksiders II,Nordic Games,"[""WiiU"", ""PS3"", ""PC"", ""X360""]",4,2012,Action,0.8999999999999999,0.79,0.01,0.24000000000000002,1.93,83.25,161,7.7749999999999995,1684,Vigil Games,M
Darksiders: Warmastered Edition,Nordic Games,"[""XOne"", ""PS4""]",2,2016,Action,0.03,0,0,0,0.03,79.5,22,8.2,29,Nordic Games Publishing,M
Dark Souls,Namco Bandai Games,"[""PS3"", ""X360""]",2,2011,Role-Playing,1.3900000000000001,0.78,0.54,0.31,3.01,89,120,8.55,2503,From Software,M
Dark Souls II,Namco Bandai Games,"[""X360"", ""PS3"", ""PC""]",3,2014,Role-Playing,0.96,0.59,0.41000000000000003,0.23,2.1799999999999997,91,135,7.7,4340,From Software,T
Dark Souls III,Namco Bandai Games,"[""XOne"", ""PC"", ""PS4""]",3,2016,Role-Playing,0.91,0.61,0.34,0.26,2.11,88.33333333333333,139,8.666666666666666,4302,From Software,M
Darkspore,Electronic Arts,"[""PC""]",1,2011,Role-Playing,0.07,0.03,0,0.01,0.12,65,52,6,133,Maxis,T
Darkstalkers Chronicle: The Chaos Tower,Capcom,"[""PSP""]",1,2004,Fighting,0.13,0,0,0.01,0.15,74,27,7.9,25,Capcom,T
Darkstalkers Resurrection,Capcom,"[""PS3""]",1,2013,Fighting,0,0,0.03,0,0.03,80,33,7.3,27,Iron Galaxy Studios,T
DarkStar One,Ubisoft,"[""PC""]",1,2006,Simulation,0,0.03,0,0.01,0.03,71,33,7.2,54,Ascaron Entertainment GmbH,T
DarkStar One: Broken Alliance,Kalypso Media,"[""X360""]",1,2010,Simulation,0.11,0.07,0,0.02,0.2,63,33,7.2,19,Gaming Minds Studios,T
Darkstone,Electronic Arts,"[""PS""]",1,2001,Role-Playing,0.37,0.25,0,0.04,0.66,58,10,8.3,12,Delphine Software International,T
Dark Summit,THQ,"[""GC""]",1,2002,Sports,0.04,0.01,0,0,0.05,68,16,4.5,4,Radical Entertainment,T
Dark Void,Capcom,"[""X360"", ""PC"", ""PS3""]",3,2010,Action,0.37,0.21999999999999997,0,0.08,0.6799999999999999,58.333333333333336,141,5.7,164,Airtight Games,T
Darkwatch,Ubisoft,"[""PS2"", ""XB""]",2,2005,Shooter,0.32,0.16999999999999998,0,0.05,0.53,74.5,80,8.25,63,High Moon Studios,M
Data East Arcade Classics,Majesco Entertainment,"[""Wii""]",1,2010,Misc,0.08,0,0,0.01,0.09,56,7,8.2,5,G1M2,T
Dave Mirra BMX Challenge,Oxygen Interactive,"[""PSP""]",1,2006,Sports,0.06,0,0,0.01,0.07,32,11,4.6,10,Left Field Productions,E
Dave Mirra Freestyle BMX,Acclaim Entertainment,"[""PS""]",1,2000,Sports,0.91,0.11,0,0.03,1.05,82,14,8.4,5,"Z-Axis, Ltd.",E
Dave Mirra Freestyle BMX 2,Acclaim Entertainment,"[""PS2"", ""GC"", ""XB""]",3,2001,Sports,1.03,0.6300000000000001,0,0.2,1.8599999999999999,78.33333333333333,54,8,34,"Z-Axis, Ltd.",T
Dave Mirra Freestyle BMX: Maximum Remix,Acclaim Entertainment,"[""PS""]",1,2001,Sports,0.15,0.1,0,0.02,0.27,67,11,8.1,7,"Z-Axis, Ltd.",E
Dawn of Discovery,Ubisoft,"[""DS"", ""PC"", ""Wii""]",3,2009,Simulation,0.19,0.41,0,0.09,0.6799999999999999,81.66666666666667,67,8.200000000000001,154,"Blue Byte, Related Designs",E
Dawn of Mana,Square Enix,"[""PS2""]",1,2006,Role-Playing,0.07,0.05,0.29,0.02,0.43,57,27,6.8,11,Square Enix,T
Daxter,Sony Computer Entertainment,"[""PSP""]",1,2006,Platform,2.45,1.01,0,0.75,4.21,85,59,8.7,109,Ready at Dawn,E10+
DC Universe Online,Sony Online Entertainment,"[""PC"", ""PS3""]",2,2011,Role-Playing,0.51,0.16999999999999998,0,0.08,0.74,69.5,73,7.1,382,WBIE,T
DDRMAX2: Dance Dance Revolution,Konami Digital Entertainment,"[""PS2""]",1,2003,Simulation,1.05,0.59,0,0.18,1.81,82,27,8.2,11,Konami,E
Dead Head Fred,D3Publisher,"[""PSP""]",1,2007,Action,0.04,0,0,0,0.04,75,30,7.3,23,Vicious Cycle,M
Dead Island,Deep Silver,"[""X360"", ""PC"", ""PS3""]",3,2011,Action,2.68,1.49,0.15,0.54,4.86,74,140,6.766666666666666,2460,Techland,M
Dead Island Definitive Collection,Deep Silver,"[""PS4"", ""XOne""]",2,2016,Action,0.05,0.1,0.01,0.02,0.19,65,42,5.65,63,Techland,M
Dead Island: Riptide,Deep Silver,"[""PS3"", ""X360"", ""PC""]",3,2013,Action,0.7,0.52,0.08,0.17,1.45,60,103,6.066666666666666,773,Techland,M
Deadliest Catch: Alaskan Storm,Navarre Corp,"[""X360""]",1,2008,Sports,0.04,0,0,0,0.05,56,14,5.9,15,Liquid Dragon Studios,T
Deadliest Warrior: Ancient Combat,Cloud Imperium Games Corporation,"[""X360""]",1,2012,Fighting,0.04,0,0,0,0.04,37,5,6.3,4,"Pipeworks Software, Inc.",M
Deadly Creatures,THQ,"[""Wii""]",1,2009,Action,0.08,0.12,0,0.02,0.22,72,45,8.8,36,Rainbow Studios,T
Deadly Premonition,Rising Star Games,"[""X360""]",1,2010,Action,0.18,0.06,0,0.02,0.26,68,39,8.2,332,Access Games,M
Dead Man's Hand,Atari,"[""XB""]",1,2004,Shooter,0.09,0.02,0,0,0.11,62,31,8.1,9,Human Head Studios,T
Dead or Alive,Sony Computer Entertainment,"[""PS""]",1,1998,Fighting,0.09,0.06,0.1,0.02,0.28,84,10,8.6,18,Team Ninja,T
Dead or Alive 3,Microsoft Game Studios,"[""XB""]",1,2001,Fighting,1.19,0.29,0.24,0.06,1.77,87,35,8.6,44,Team Ninja,T
Dead or Alive 4,Tecmo Koei,"[""X360""]",1,2005,Fighting,0.3,0.03,0.1,0.03,0.47,85,76,8.2,223,Team Ninja,M
Dead or Alive 5,Tecmo Koei,"[""X360"", ""PS3""]",2,2012,Fighting,0.42000000000000004,0.22000000000000003,0.23,0.1,0.96,75,73,7.800000000000001,204,Team Ninja,M
Dead or Alive: Dimensions,Ubisoft Annecy,"[""3DS""]",1,2011,Fighting,0.13,0.21,0.07,0.03,0.45,79,62,8.2,113,Team Ninja,T
Dead or Alive Paradise,Ubisoft Annecy,"[""PSP""]",1,2010,Misc,0.07,0.02,0.07,0.02,0.18,38,34,5.6,37,"Team Ninja, Tecmo",M
Dead or Alive Ultimate,Tecmo Koei,"[""XB""]",1,2004,Fighting,0.3,0.1,0.08,0.02,0.5,83,64,8.7,25,Team Ninja,M
Dead or Alive Xtreme 2,Tecmo Koei,"[""X360""]",1,2006,Sports,0.15,0.02,0.06,0.02,0.25,53,46,6.7,42,Team Ninja,M
Dead or Alive Xtreme 3: Fortune,Tecmo Koei,"[""PS4""]",1,2016,Sports,0,0,0.05,0,0.05,43,9,7.8,110,Team Ninja,
Dead or Alive Xtreme Beach Volleyball,Microsoft Game Studios,"[""XB""]",1,2003,Sports,0.36,0.08,0.14,0.02,0.59,73,42,7.8,47,Team Ninja,M
Deadpool,Activision,"[""PS3"", ""X360"", ""PS4""]",3,2013,Action,0.63,0.38,0,0.16999999999999998,1.17,61,87,6.766666666666667,657,High Moon Studios,M
Dead Rising,Capcom,"[""X360"", ""PS4""]",2,2006,Action,1.18,0.64,0.09,0.21000000000000002,2.12,81.5,88,7.1,550,Capcom,M
Dead Rising 2,Capcom,"[""PS4"", ""X360"", ""PS3"", ""PC""]",4,2010,Action,1.29,1.1,0.25,0.33999999999999997,3.02,79.75,151,6.625,613,Blue Castle Games,M
Dead Rising 2: Off the Record,Capcom,"[""PS3"", ""PC"", ""X360""]",3,2011,Action,0.32,0.18,0.1,0.06,0.65,70,89,6.633333333333333,149,Capcom Vancouver,M
Dead Rising 3,Microsoft Game Studios,"[""XOne""]",1,2013,Action,1.06,0.35,0.01,0.15,1.57,78,69,6.8,908,Capcom Vancouver,M
Dead Rising: Chop Till You Drop,Capcom,"[""Wii""]",1,2009,Action,0.15,0.07,0.05,0.02,0.29,61,30,6.5,35,TOSE,M
Dead Space,Electronic Arts,"[""X360"", ""PS3"", ""PC""]",3,2008,Action,1.94,1.58,0,0.48,3.9899999999999998,87.66666666666667,174,8.5,2406,EA Redwood Shores,M
Dead Space 2,Electronic Arts,"[""PS3"", ""X360"", ""PC""]",3,2011,Shooter,1.7999999999999998,1.0699999999999998,0,0.37999999999999995,3.2499999999999996,88.66666666666667,189,8.433333333333334,2188,Visceral Games,M
Dead Space 3,Electronic Arts,"[""X360"", ""PC"", ""PS3""]",3,2013,Action,1.1,0.78,0,0.26,2.13,77.33333333333333,121,6.266666666666667,2312,Visceral Games,M
Dead Space Extraction,Electronic Arts,"[""Wii""]",1,2009,Shooter,0.32,0.1,0.01,0.04,0.47,82,76,8.1,82,"Eurocom Entertainment Software, Visceral Games",M
Dead to Rights,Electronic Arts,"[""PS2"", ""XB"", ""GC""]",3,2002,Shooter,1.3100000000000003,0.7200000000000001,0,0.2,2.22,74.33333333333333,75,8.833333333333334,59,Namco,M
Dead to Rights II,Electronic Arts,"[""XB"", ""PS2""]",2,2005,Shooter,0.18,0.1,0,0.03,0.31,52.5,67,6.35,12,Namco,M
Dead to Rights: Reckoning,Electronic Arts,"[""PSP""]",1,2005,Shooter,0.12,0,0,0.01,0.13,54,26,7.2,22,Rebellion,M
Dead to Rights: Retribution,Namco Bandai Games,"[""PS3"", ""X360""]",2,2010,Shooter,0.21000000000000002,0.2,0.02,0.07,0.49,60.5,108,6.45,61,Volatile Games,M
Deal or No Deal,Mindscape,"[""Wii"", ""DS""]",2,2007,Misc,2.3499999999999996,0.4,0,0.24,2.99,38,17,3.45,46,Artefacts Studio,E
Death By Degrees,Sony Computer Entertainment,"[""PS2""]",1,2005,Action,0.05,0.04,0,0.01,0.1,51,45,6.2,24,Namco,M
Death Jr.,Konami Digital Entertainment,"[""PSP""]",1,2005,Platform,0.17,0,0,0.01,0.19,61,40,7.3,21,Backbone Entertainment,T
Death Jr. and the Science Fair of Doom,Konami Digital Entertainment,"[""DS""]",1,2007,Platform,0.08,0,0,0.01,0.08,47,23,7.5,6,Foundation 9 Entertainment,E10+
Death Jr. II: Root of Evil,Konami Digital Entertainment,"[""PSP""]",1,2006,Platform,0.05,0,0,0,0.05,68,34,7.3,9,Backbone Entertainment,T
Death Jr.: Root of Evil,Eidos Interactive,"[""Wii""]",1,2008,Platform,0.1,0,0,0.01,0.11,71,14,8.1,14,Backbone Entertainment,T
DeathSmiles,Rising Star Games,"[""X360""]",1,2009,Shooter,0.15,0.06,0.05,0.02,0.28,76,29,8.4,47,Cave,T
de Blob,THQ,"[""Wii""]",1,2008,Platform,0.49,0.37,0,0.1,0.96,82,48,8.6,73,Blue Tongue Entertainment,E
de Blob 2,THQ,"[""PS3"", ""DS"", ""Wii"", ""X360""]",4,2011,Platform,0.4,0.19000000000000003,0,0.06999999999999999,0.65,76.25,135,7.725,89,Blue Tongue Entertainment,E
Deca Sports,Konami Digital Entertainment,"[""Wii""]",1,2008,Sports,1.11,0.85,0.29,0.25,2.5,50,23,5.4,16,CAProduction,E
DECA Sports Freedom,Hudson Soft,"[""X360""]",1,2010,Sports,0.27,0.04,0,0.02,0.33,26,16,3.7,9,AI,E10+
Deception IV: Blood Ties,Tecmo Koei,"[""PS3"", ""PSV""]",2,2014,Action,0.05,0.04,0.13,0.02,0.24,68.5,38,7.85,88,Koei Tecmo Games,M
Deep Labyrinth,505 Games,"[""DS""]",1,2006,Action,0.06,0,0,0,0.07,57,18,8.8,4,Interactive Brains,E10+
Defender,Midway Games,"[""PS2""]",1,2002,Misc,0.2,0.15,0,0.05,0.4,73,24,7.8,6,7 Studios,T
Defiance,Trion Worlds,"[""PC"", ""X360"", ""PS3""]",3,2013,Shooter,0.71,0.28,0,0.13,1.13,61,88,6.866666666666667,1055,Trion Worlds,M
Def Jam: Fight for NY,Electronic Arts,"[""PS2"", ""XB""]",2,2004,Fighting,1.29,0.77,0,0.24,2.3,83.5,79,8.7,86,Aki Corp.,M
Def Jam Fight For NY: The Takeover,Electronic Arts,"[""PSP""]",1,2006,Action,0.08,0,0,0.01,0.09,79,25,8.2,16,Aki Corp.,M
Def Jam Icon,Electronic Arts,"[""PS3"", ""X360""]",2,2007,Action,0.45999999999999996,0.2,0,0.11,0.76,68.5,86,5.35,148,EA Chicago,M
Def Jam Rapstar,Konami Digital Entertainment,"[""X360"", ""PS3""]",2,2010,Misc,0.5,0.06,0,0.05,0.61,74.5,61,5.85,13,"Terminal Reality, 4mm Games",T
Def Jam Vendetta,Electronic Arts,"[""PS2"", ""GC""]",2,2003,Fighting,1.14,0.79,0,0.26,2.19,80.5,55,8.7,49,Aki Corp.,T
Delta Force: Black Hawk Down,NovaLogic,"[""XB"", ""PS2""]",2,2005,Shooter,0.47,0.24000000000000002,0,0.06999999999999999,0.8,59.5,62,7.7,70,Climax Group,T
Dementium II,SouthPeak Games,"[""DS""]",1,2010,Shooter,0.09,0.01,0,0.01,0.11,75,25,8.3,31,Renegade Kid,M
Dementium: The Ward,SouthPeak Games,"[""DS""]",1,2007,Shooter,0.15,0.01,0,0.01,0.17,72,48,7.9,37,Renegade Kid,M
Demigod,Atari,"[""PC""]",1,2009,Strategy,0,0.02,0,0,0.02,76,50,7.9,183,Gas Powered Games,T
DemiKids: Light Version,Atlus,"[""GBA""]",1,2002,Role-Playing,0.02,0.01,0,0,0.02,62,8,8.3,15,Multimedia Intelligence Transfer,E
Demon Gaze,Nippon Ichi Software,"[""PSV""]",1,2013,Role-Playing,0.04,0.02,0.08,0.02,0.17,70,38,7.4,129,Experience Inc.,T
Demon's Souls,Namco Bandai Games,"[""PS3""]",1,2009,Role-Playing,0.97,0.33,0.35,0.17,1.82,89,81,8.9,1441,From Software,M
Dengeki Bunko Fighting Climax,Sega,"[""PSV"", ""PS3""]",2,2014,Fighting,0.09,0,0.16999999999999998,0.02,0.29000000000000004,70.5,20,8.35,57,Sega,T
Deponia,Daedalic,"[""PC""]",1,2012,Adventure,0,0.13,0,0.02,0.15,74,33,8.2,307,Daedalic Entertainment,
Destiny,Activision,"[""PS4"", ""XOne""]",2,2014,Shooter,4.630000000000001,2.9899999999999998,0.16,1.23,9.01,75.5,106,5.8,7115,"Bungie Software, Bungie",T
Destiny: The Taken King,Activision,"[""XOne"", ""PS4""]",2,2015,Shooter,1.63,1.02,0.04,0.43,3.12,87.5,92,5.6,1472,Bungie,T
Destruction Derby Arenas,Sony Computer Entertainment,"[""PS2""]",1,2004,Racing,0.06,0.05,0,0.02,0.13,57,27,7.8,14,Studio 33,T
Destruction Derby Raw,Sony Computer Entertainment,"[""PS""]",1,2000,Racing,0.08,0.05,0,0.01,0.14,69,9,7.3,14,Studio 33,E
Deus Ex,Eidos Interactive,"[""PC""]",1,2000,Role-Playing,0,0.01,0,0,0.01,90,28,9.3,1069,Ion Storm,M
Deus Ex: Human Revolution,Square Enix,"[""X360"", ""PC"", ""PS3""]",3,2011,Shooter,1.51,1.31,0.09000000000000001,0.42000000000000004,3.3200000000000003,89.33333333333333,172,8.333333333333334,4435,Eidos Montreal,M
Deus Ex: Invisible War,Eidos Interactive,"[""XB""]",1,2003,Shooter,0.25,0.07,0,0.01,0.33,84,50,7.6,37,Ion Storm,M
Deus Ex: Mankind Divided,Square Enix,"[""XOne"", ""PC"", ""PS4""]",3,2016,Role-Playing,0.2,0.3,0,0.06999999999999999,0.5800000000000001,83.33333333333333,132,6.966666666666666,1370,Eidos Montreal,M
Deus Ex: The Conspiracy,Eidos Interactive,"[""PS2""]",1,2002,Action,0.1,0.08,0,0.03,0.21,81,25,8.9,49,Ion Storm,M
Devil Kings,Capcom,"[""PS2""]",1,2005,Action,0.03,0.03,0.18,0.01,0.25,64,27,7.4,12,Capcom,T
Devil May Cry,Capcom,"[""PS2""]",1,2001,Action,1.36,0.86,0.64,0.13,2.99,94,37,8.5,466,Capcom,M
Devil May Cry 2,Capcom,"[""PS2""]",1,2003,Action,0.71,0.58,0.51,0.17,1.97,68,40,6.6,167,Capcom,M
Devil May Cry 3: Dante's Awakening,Capcom,"[""PS2""]",1,2005,Action,0.99,0.63,0.29,0.19,2.09,84,60,9,212,Capcom,M
Devil May Cry 4,Capcom,"[""PC"", ""X360"", ""PS3""]",3,2008,Action,1.38,0.81,0.42000000000000004,0.34,2.95,82,145,8.233333333333333,912,Capcom,M
Devil May Cry HD Collection,Capcom,"[""PS3"", ""X360""]",2,2012,Action,0.7,0.3,0.12,0.12,1.25,75.5,59,8.600000000000001,251,"Capcom, Pipeworks Software, Inc.",M
Devil's Third,Nintendo,"[""WiiU""]",1,2015,Action,0.04,0.02,0,0.01,0.06,43,54,6.5,283,Valhalla Game Studios,M
Dewy's Adventure,Konami Digital Entertainment,"[""Wii""]",1,2007,Platform,0.14,0,0.01,0.01,0.16,67,29,6.3,15,Konami,E
Diablo,Activision,"[""PC""]",1,1996,Role-Playing,0.01,1.58,0,0,1.59,94,12,8.7,850,Blizzard Entertainment,M
Diablo II,Havas Interactive,"[""PC""]",1,2000,Role-Playing,0.01,0.1,0,0.02,0.13,88,34,8.8,1056,Blizzard North,M
Diablo III,Activision,"[""PC"", ""X360"", ""PS3""]",3,2012,Role-Playing,4.06,3.3000000000000003,0.15,0.95,8.459999999999999,87,171,5.666666666666667,10570,Blizzard Entertainment,M
Diablo II: Lord of Destruction,Vivendi Games,"[""PC""]",1,2001,Role-Playing,1.03,0.02,0,0,1.06,87,21,9.1,639,Blizzard North,M
Diddy Kong Racing DS,Nintendo,"[""DS""]",1,2007,Racing,1.09,0.03,0,0.09,1.22,63,39,7.5,27,Rare Ltd.,E
Die Hard: Vendetta,NDA Productions,"[""GC""]",1,2002,Shooter,0.09,0.02,0,0,0.12,54,23,7,10,Bits Studios,M
Digimon All-Star Rumble,Namco Bandai Games,"[""PS3""]",1,2014,Fighting,0.06,0.02,0,0.02,0.09,49,12,5.8,32,Prope,E10+
Digimon Digital Card Battle,Namco Bandai Games,"[""PS""]",1,1999,Strategy,0.06,0.04,0,0.01,0.11,51,5,9,44,Bandai,T
Digimon Rumble Arena,Namco Bandai Games,"[""PS""]",1,2001,Fighting,0.01,0.01,0,0,0.02,64,5,8.8,71,Bandai,E
Digimon Rumble Arena 2,Atari,"[""GC"", ""PS2"", ""XB""]",3,2004,Fighting,0.09,0.05,0,0.01,0.15,66.33333333333333,22,8.066666666666666,34,Black Ship Games,T
Digimon Story: Cyber Sleuth,Namco Bandai Games,"[""PS4""]",1,2016,Role-Playing,0,0.1,0,0.02,0.11,75,45,8.5,289,Media Vision,T
Digimon World 2,Namco Bandai Games,"[""PS""]",1,2000,Role-Playing,0.23,0.16,0.16,0.04,0.58,42,5,7.6,47,Bandai,E
Digimon World 4,Atari,"[""PS2"", ""XB"", ""GC""]",3,2005,Role-Playing,0.17,0.09,0,0.02,0.27,52.333333333333336,16,7.933333333333334,60,Bandai,E
Digimon World Championship,Namco Bandai Games,"[""DS""]",1,2008,Role-Playing,0,0,0.07,0,0.07,49,6,6.5,13,Epics,E
Digimon World: Data Squad,Namco Bandai Games,"[""PS2""]",1,2006,Role-Playing,0.12,0.09,0,0.03,0.24,43,12,8,20,Bec,E10+
Digimon World DS,Namco Bandai Games,"[""DS""]",1,2006,Role-Playing,0.09,0,0,0.01,0.1,71,8,7.6,27,Bec,E10+
Dino Crisis 2,Virgin Interactive,"[""PS""]",1,2000,Action,0.34,0.49,0.28,0.1,1.21,86,13,9,91,Capcom,M
Dino Crisis 3,Capcom,"[""XB""]",1,2003,Action,0.08,0.03,0.03,0,0.14,51,28,4.1,22,Capcom,M
Dino Dini's Kick Off Revival,Avanquest,"[""PS4""]",1,2016,Sports,0,0.02,0,0,0.02,31,22,4.5,66,"The Digital Lounge, Dino Dini",
Dinosaur King,Sega,"[""DS""]",1,2007,Strategy,0.2,0,0,0.02,0.22,61,13,8,9,Climax Entertainment,E
Dino Stalker,Capcom,"[""PS2""]",1,2002,Shooter,0.07,0.06,0.08,0.02,0.22,50,18,6.3,8,Capcom,M
Dirge of Cerberus: Final Fantasy VII,Square Enix,"[""PS2""]",1,2006,Shooter,0.47,0.37,0.52,0.12,1.48,57,51,6.9,103,Square Enix,T
DiRT,Codemasters,"[""X360"", ""PC"", ""PS3""]",3,2007,Racing,0.54,1.08,0,0.32,1.94,83.33333333333333,111,7.566666666666666,217,Codemasters,E
DiRT 2,Codemasters,"[""PSP"", ""PC"", ""PS3"", ""X360"", ""Wii""]",5,2009,Racing,0.7799999999999999,1.32,0,0.41,2.5300000000000002,73.8,173,7.159999999999999,588,Codemasters,E10+
DiRT 3,Codemasters,"[""PS3"", ""PC"", ""X360""]",3,2011,Racing,0.5,1.1,0.02,0.31,1.93,86.66666666666667,156,7.033333333333334,721,Codemasters,T
DiRT Rally,Codemasters,"[""PC"", ""XOne"", ""PS4""]",3,2016,Racing,0.08,0.38,0,0.060000000000000005,0.52,85.66666666666667,96,8.266666666666666,544,Codemasters,E
DiRT Showdown,Codemasters,"[""PS3"", ""X360""]",2,2012,Racing,0.1,0.25,0,0.05,0.41000000000000003,75,80,6.35,96,Codemasters,E10+
Disaster Report,Agetec,"[""PS2""]",1,2002,Action,0.03,0.02,0.15,0.01,0.21,66,28,8,7,Irem,T
Disciples III: Renaissance,Kalypso Media,"[""PC""]",1,2010,Strategy,0,0.01,0,0,0.02,56,36,5.4,105,Akella,T
Disgaea 2: Cursed Memories,Tecmo Koei,"[""PS2""]",1,2006,Role-Playing,0.09,0.07,0.15,0.02,0.33,84,54,6.4,42,Nippon Ichi Software,T
Disgaea 2: Dark Hero Days,Nippon Ichi Software,"[""PSP""]",1,2009,Role-Playing,0.1,0.01,0.12,0.02,0.25,83,33,7.1,47,Nippon Ichi Software,T
Disgaea 3: Absence of Detention,Nippon Ichi Software,"[""PSV""]",1,,Role-Playing,0.11,0.05,0.07,0.03,0.27,78,28,7.6,116,Nippon Ichi Software,T
Disgaea 3: Absence of Justice,Square Enix,"[""PS3""]",1,2008,Role-Playing,0.33,0.03,0.11,0.04,0.52,78,51,7.5,150,Nippon Ichi Software,T
Disgaea 4: A Promise Unforgotten,Nippon Ichi Software,"[""PS3""]",1,2011,Role-Playing,0.27,0.11,0.14,0.05,0.57,80,39,7.8,126,Nippon Ichi Software,T
Disgaea 5: Alliance of Vengeance,Nippon Ichi Software,"[""PS4""]",1,2015,Role-Playing,0.11,0.08,0.06,0.04,0.29,80,43,8.1,173,Nippon Ichi Software,T
Disgaea: Afternoon of Darkness,Tecmo Koei,"[""PSP""]",1,2006,Role-Playing,0.15,0.01,0.04,0.02,0.23,87,37,8.2,69,Nippon Ichi Software,T
Disgaea D2: A Brighter Darkness,Nippon Ichi Software,"[""PS3""]",1,2013,Role-Playing,0.09,0,0.1,0.02,0.21,74,37,8.1,61,Nippon Ichi Software,T
Disgaea DS,Square Enix,"[""DS""]",1,2008,Role-Playing,0.11,0.01,0.05,0.01,0.18,82,32,7.5,35,Nippon Ichi Software,T
Disgaea: Hour of Darkness,Tecmo Koei,"[""PS2""]",1,2003,Role-Playing,0.16,0.13,0,0.04,0.33,84,42,8.9,74,Nippon Ichi Software,T
Disgaea Infinite,Nippon Ichi Software,"[""PSP""]",1,2010,Adventure,0.07,0,0.01,0.01,0.09,64,15,4.4,40,Nippon Ichi Software,T
Dishonored,Bethesda Softworks,"[""PS3"", ""X360""]",2,2012,Action,1.78,1.02,0.05,0.39,3.24,88.5,91,7.9,1596,Arkane Studios,M
Dishonored 2,Bethesda Softworks,"[""PC"", ""PS4"", ""XOne""]",3,2016,Action,0.38,0.47000000000000003,0,0.13,0.98,87.33333333333333,115,6.833333333333333,1108,Arkane Studios,M
Disney Art Academy,Nintendo,"[""3DS""]",1,2016,Action,0.02,0.01,0.08,0,0.11,72,16,6.8,5,Headstrong Games,E
